player_id,player_name,year,team
"69404","Julio Quintana","1930","Peru"
"69403","Lizardo Nue Rodriguez","1930","Peru"
"58313","Luis Souza","1930","Peru"
"48309","Mario De Las Casas","1930","Peru"
"69406","Pablo Pacheco","1930","Peru"
"49705","Placido Galindo","1930","Peru"
"48467","Adalbert Desu","1930","Romania"
"58409","Adalbert Steiner","1930","Romania"
"49407","Alfred Eisenbeisser","1930","Romania"
"58384","Constantin Stanciu","1930","Romania"
"56972","Corneliu Robe","1930","Romania"
"59693","Emerich Vogl","1930","Romania"
"69400","Ilile Subaseanu","1930","Romania"
"52738","Ion Lapusneanu","1930","Romania"
"69399","Iosif Czako","1930","Romania"
"56587","Ladislau Raffinsky","1930","Romania"
"52463","Nicolae Kovacs","1930","Romania"
"47067","Rudolf Buerger","1930","Romania"
"59918","Rudolf Wetzer","1930","Romania"
"69401","Samuel Zauber","1930","Romania"
"69398","Stefan Barbu","1930","Romania"
"49893","Alvaro Gestido","1930","Uruguay"
"69411","Angel Melogno","1930","Uruguay"
"69413","Carlos Riolfo","1930","Uruguay"
"69410","Conduelo Piriz","1930","Uruguay"
"58837","Domingo Tejera","1930","Uruguay"
"69412","Emilio Recoba","1930","Uruguay"
"46133","Enrique Ballestrero","1930","Uruguay"
"53764","Ernesto Mascheroni","1930","Uruguay"
"47398","Hector Castro","1930","Uruguay"
"57652","Hector Scarone","1930","Uruguay"
"45617","Jose Andrade","1930","Uruguay"
"174795","Jose Nasazzi","1930","Uruguay"
"45675","Juan Anselmo","1930","Uruguay"
"69408","Juan Carlos Calvo","1930","Uruguay"
"49351","Lorenzo Fernandez","1930","Uruguay"
"69409","Miguel Cappuccini","1930","Uruguay"
"48687","Pablo Dorado","1930","Uruguay"
"47419","Pedro Cea","1930","Uruguay"
"56200","Pedro Petrone","1930","Uruguay"
"59283","Santos Urdinaran","1930","Uruguay"
"51279","Victoriano Iriarte","1930","Uruguay"
"69414","Zoilo Saldombide","1930","Uruguay"
"60034","Alexander Wood","1930","USA"
"45930","Andrew Auld","1930","USA"
"69426","Arnie Oliver","1930","USA"
"53957","Bart Mcghee","1930","USA"
"55992","Bert Patenaude","1930","USA"
"50076","Billy Gonsalves","1930","USA"
"69422","Frank Vaughn","1930","USA"
"54468","George Moorhouse","1930","USA"
"46989","Jim Brown","1930","USA"
"69424","Jim Gentle","1930","USA"
"48705","Jimmy Douglas","1930","USA"
"49709","Jimmy Gallagher","1930","USA"
"69423","Mike Bookie","1930","USA"
"69425","Phil Slone","1930","USA"
"59115","Ralph Tracy","1930","USA"
"49494","Tom Florie","1930","USA"
"61698","Aleksandar Tirnanic","1930","Yugoslavia"
"53657","Blagoje Marjanovic","1930","Yugoslavia"
"69378","Branislav Hrnjicek","1930","Yugoslavia"
"57803","Branislav Sekulic","1930","Yugoslavia"
"59734","Djordje Vujadinovic","1930","Yugoslavia"
"54213","Dragan Mihajlovic","1930","Yugoslavia"
"59085","Dragan Tosic","1930","Yugoslavia"
"54923","Dragutin Najdanovic","1930","Yugoslavia"
"46364","Ivica Bek","1930","Yugoslavia"
"58397","Ljubisa Stefanovic","1930","Yugoslavia"
"69376","Milan Stojanovic","1930","Yugoslavia"
"45819","Milorad Arsenijevic","1930","Yugoslavia"
"51407","Milovan Jaksic","1930","Yugoslavia"
"51343","Milutin Ivkovic","1930","Yugoslavia"
"48622","Momcilo Djokic","1930","Yugoslavia"
"69377","Teofilo Spasojevic","1930","Yugoslavia"
"314360","Vlastimir Petkovic","1930","Yugoslavia"
"49694","Alberto Galateo","1934","Argentina"
"69474","Alfonso Lorenzo","1934","Argentina"
"48333","Alfredo De Vincenzi","1934","Argentina"
"69470","Angel Grippa","1934","Argentina"
"53160","Arcadio Lopez","1934","Argentina"
"59281","Costantino Urbieta Sosa","1934","Argentina"
"69471","Enrique Chimento","1934","Argentina"
"69472","Ernesto Albarracin","1934","Argentina"
"46383","Ernesto Belis","1934","Argentina"
"59939","Federico Wilde","1934","Argentina"
"57181","Francisco Rua","1934","Argentina"
"49606","Hector Freschi","1934","Argentina"
"55028","Jose Nehin","1934","Argentina"
"56047","Juan Pedevilla","1934","Argentina"
"69473","Luca Izzeta","1934","Argentina"
"70077","Ramon Astudillo","1934","Argentina"
"51274","Roberto Iraneta","1934","Argentina"
"69475","Vincente Perez","1934","Argentina"
"69521","Anton Janda","1934","Austria"
"47794","Franz Cisar","1934","Austria"
"59758","Franz Wagner","1934","Austria"
"69519","Friederich Franzl","1934","Austria"
"46918","Georg Braun","1934","Austria"
"59280","Hans Urbanek","1934","Austria"
